TT	PID	AT	CT	IO_D	WT	RT	TRT
10677	239	780	152	18	9745	1241	9897
10805	938	9925	190	0	690	678	880
10822	242	785	237	5	9800	584	10037
10837	659	4706	264	0	5867	921	6131
10859	241	785	81	6	9993	93	10074
10864	262	851	142	17	9871	774	10013
10872	986	10686	181	0	5	1	186
10872	984	10674	194	0	4	0	198
10968	250	814	62	10	10092	691	10154
10989	734	6258	163	0	4568	1540	4731
11073	257	836	50	5	10187	361	10237
11088	796	7344	246	0	3498	54	3744
11131	258	839	120	6	10172	776	10292
11147	194	649	229	18	10269	2035	10498
11187	212	704	261	10	10222	21	10483
11251	946	10081	100	0	1070	1066	1170
11262	245	794	251	25	10217	657	10468
11331	268	866	134	6	10331	599	10465
11338	453	1183	263	0	9892	947	10155
11428	1009	11192	220	0	16	4	236
11468	231	748	210	29	10510	1898	10720
11473	214	714	269	17	10490	118	10759
11497	209	699	265	16	10533	10	10798
11498	253	826	208	18	10464	100	10672
11498	949	10135	5	0	1358	134	1363
11569	948	10133	72	0	1364	922	1436
11598	452	1171	275	0	10152	1453	10427
11687	288	942	56	16	10689	257	10745
11752	1022	11517	220	0	15	3	235
11788	970	10420	144	0	1224	1220	1368
11799	203	682	272	8	10845	811	11117
11820	265	864	54	17	10902	981	10956
11844	950	10143	239	0	1462	228	1701
11863	1000	11063	6	0	794	794	800
11880	1038	11800	66	0	14	2	80
11903	289	946	236	9	10721	87	10957
11912	273	877	45	17	10990	2213	11035
11943	249	812	104	6	11027	1421	11131
11974	1044	11934	21	0	19	19	40
11974	206	691	253	5	11030	1925	11283
12001	1045	11941	25	0	35	31	60
12029	278	893	63	16	11073	16	11136
12065	977	10510	169	0	1386	405	1555
12097	940	9967	246	0	1884	74	2130
12146	225	731	238	13	11177	2120	11415
12229	900	9148	88	0	2993	1417	3081
12230	286	933	13	19	11284	899	11297
12231	290	950	16	0	11265	1397	11281
12232	305	994	21	9	11217	21	11238
12233	291	955	230	19	11048	210	11278
12262	223	727	270	38	11265	1899	11535
12310	195	653	296	9	11361	173	11657
12311	1033	11716	199	0	396	68	595
12336	270	873	197	6	11266	1446	11463
12337	304	988	15	11	11334	9	11349
12369	276	881	47	14	11441	540	11488
12374	263	854	147	14	11373	813	11520
12438	235	763	179	13	11496	828	11675
12559	883	8892	125	0	3542	64	3667
12560	921	9562	4	0	2994	950	2998
12586	649	4538	251	0	7797	122	8048
12603	246	800	142	20	11661	770	11803
12607	1065	12347	220	0	40	24	260
12661	919	9519	94	0	3048	570	3142
12679	261	849	243	9	11587	717	11830
12733	251	820	105	16	11808	41	11913
12814	275	881	154	9	11779	68	11933
12827	847	8337	234	0	4256	283	4490
12839	271	873	166	46	11800	612	11966
12843	230	745	253	20	11845	2405	12098
12882	293	957	61	9	11864	4	11925
12909	213	708	257	17	11944	446	12201
12980	1090	12803	171	0	6	2	177
13081	509	2387	267	0	10427	111	10694
13087	227	735	224	14	12128	1	12352
13111	248	808	294	24	12009	1	12303
13149	1069	12374	216	0	559	543	775
13154	267	866	78	11	12210	1369	12288
13184	260	845	85	23	12254	2788	12339
13199	264	861	153	11	12185	1104	12338
13314	525	2628	261	0	10425	46	10686
13349	232	753	274	13	12322	450	12596
13358	254	829	295	17	12234	1063	12529
13364	284	923	156	5	12285	316	12441
13365	366	1212	37	0	12116	5	12153
13411	328	1084	102	7	12225	1249	12327
13415	255	833	288	37	12294	133	12582
13445	283	919	266	49	12260	1801	12526
13453	1118	13176	237	0	40	24	277
13467	256	835	214	0	12418	1420	12632
13558	609	3928	259	0	9371	127	9630
13638	274	877	207	18	12554	1655	12761
13673	285	929	290	0	12454	276	12744
13707	240	780	212	8	12715	153	12927
13776	1145	13619	152	0	5	1	157
13804	309	1009	105	31	12690	1800	12795
13807	1004	11130	242	0	2435	73	2677
13909	1059	12255	231	0	1423	200	1654
13910	334	1099	27	20	12784	1791	12811
13983	612	3940	230	0	9813	293	10043
14010	296	970	81	17	12959	864	13040
14013	1122	13216	236	0	561	557	797
14030	317	1042	82	5	12906	1481	12988
14056	272	876	205	6	12975	585	13180
14059	1161	13889	157	0	13	1	170
14064	287	939	237	24	12888	302	13125
14153	294	962	148	0	13043	1118	13191
14206	929	9688	228	0	4290	261	4518
14279	279	900	279	8	13100	58	13379
14287	234	760	257	15	13270	720	13527
14345	1020	11498	193	0	2654	239	2847
14386	343	1137	32	20	13217	574	13249
14396	316	1035	286	9	13075	644	13361
14474	1180	14317	144	0	13	1	157
14513	1005	11135	224	0	3154	2022	3378
14519	1078	12681	164	0	1674	424	1838
14520	959	10321	246	0	3953	772	4199
14580	312	1017	155	0	13408	220	13563
14581	306	1000	123	7	13458	1236	13581
14667	281	911	183	16	13573	460	13756
14675	319	1045	271	12	13359	2	13630
14678	308	1003	266	0	13409	204	13675
14704	1179	14291	22	0	391	387	413
14724	310	1011	148	13	13565	861	13713
14759	298	977	184	34	13598	1687	13782
14767	939	9965	252	0	4550	493	4802
14769	297	972	157	29	13640	1570	13797
14893	1200	14795	66	0	32	20	98
14898	1192	14631	215	0	52	44	267
14941	295	969	253	0	13719	2170	13972
14942	333	1095	56	0	13791	852	13847
14951	990	10895	59	0	3997	248	4056
14962	301	985	215	13	13762	1631	13977
14980	1210	14966	14	0	0	0	14
14981	1208	14926	20	0	35	35	55
14982	327	1081	270	11	13631	554	13901
15008	704	5597	258	0	9153	1787	9411
15039	277	887	210	0	13942	87	14152
15050	1110	13098	69	0	1883	362	1952
15057	302	986	108	16	13963	3	14071
15112	1157	13847	147	0	1118	178	1265
15127	292	955	63	18	14109	1787	14172
15172	266	866	191	19	14115	1367	14306
15216	1221	15085	126	0	5	1	131
15222	252	820	259	0	14143	45	14402
15246	611	3936	252	0	11058	419	11310
15250	1109	13081	213	0	1956	418	2169
15269	247	801	239	11	14229	3230	14468
15350	324	1068	132	14	14150	1263	14282
15439	300	980	103	7	14356	183	14459
15457	1245	15362	63	0	32	32	95
15472	1048	11975	223	0	3274	284	3497
15474	368	1217	30	6	14227	1026	14257
15475	1238	15307	158	0	10	2	168
15479	1087	12791	223	0	2465	258	2688
15502	311	1016	264	20	14222	699	14486
15510	338	1113	41	21	14356	380	14397
15584	1172	14178	171	0	1235	109	1406
15590	360	1194	275	19	14121	320	14396
15591	342	1133	78	8	14380	44	14458
15649	322	1057	139	8	14453	402	14592
15660	1249	15490	157	0	13	1	170
15728	679	4913	257	0	10558	1071	10815
15762	1030	11694	169	0	3899	1530	4068
15798	980	10551	153	0	5094	1750	5247
15841	313	1024	165	21	14652	185	14817
15845	321	1055	89	15	14701	854	14790
15856	332	1095	143	26	14618	420	14761
15885	776	6997	230	0	8658	297	8888
15948	1158	13855	67	0	2026	233	2093
15957	1241	15329	221	0	407	400	628
15966	1220	15062	119	0	785	240	904
15985	357	1186	68	6	14731	1695	14799
16022	307	1003	140	12	14879	1242	15019
16120	1279	15920	190	0	10	2	200
16120	303	986	193	33	14941	7	15134
16133	1144	13585	177	0	2371	444	2548
16175	326	1077	243	0	14855	1737	15098
16180	314	1027	194	20	14959	768	15153
16202	323	1062	170	17	14970	755	15140
16213	346	1147	103	10	14963	506	15066
16233	1168	14114	228	0	1891	116	2119
16337	367	1216	237	5	14884	5	15121
